qid,layer,persona,lang,intent,lane,reasoning_mode_sent,chat_mode_sent,lane_sent_user_tier,message_chars,session_turn,request_id,run_tag,t_first_event_s,t_first_stage_s,first_stage_name,stage_sequence,ttft_first_delta_s,ttft_first_content_s,total_s,delta_events,status_events,frame_count,max_gap_s,db_model,db_model_tier,db_ai_reasoning_mode,first_touch_tier,db_prompt_tokens,db_completion_tokens,db_total_tokens,usage_src,engine_cost_usd_db,price_model,cost_usd,fallback_flag,error_code,error_msg,response_chars,answered,abstain_flag,lang_match,relevance_screen,quality_pass,aurora_l1_budget_tokens,aurora_l1_retrieval_mode,session_id
L0-01,L0,self_learner,zh,greeting,free,fast,standard,,2,1,wt372-e08-run-l0-01-0a8dc1,run,0.0694,0.3531,intake,intake>planning,1.0278,1.0278,1.4441,3,5,22,0.3765,dashscope_fast,fast,fast,fast,1329,29,1358,db,0.000136,qwen3.7-flash,4.577216783216783e-05,False,,,50,True,False,True,,True,,,b808e6a5-4e90-4cc7-8d7e-d3aae12aeac3
L0-02,L0,college_student,en,greeting,free,fast,standard,,2,2,wt372-e08-run-l0-02-c78f7e,run,0.298,0.298,intake,intake>planning,1.0174,1.0174,1.4398,3,5,15,0.5207,dashscope_fast,fast,fast,fast,1303,22,1325,db,0.000132,qwen3.7-flash,4.400041958041957e-05,False,,,37,True,False,False,,False,,,b808e6a5-4e90-4cc7-8d7e-d3aae12aeac3
L0-03,L0,exam_candidate,zh,greeting,free,fast,standard,,9,3,wt372-e08-run-l0-03-f17da1,run,0.1799,0.1799,intake,intake>planning,0.806,0.806,8.9024,12,5,24,5.5522,dashscope_fast,fast,fast,fast,1308,122,1430,db,0.000143,qwen3.7-flash,5.7780139860139846e-05,False,,,219,True,False,True,,True,,,b808e6a5-4e90-4cc7-8d7e-d3aae12aeac3
L0-04,L0,self_learner,zh,thanks,free,fast,standard,,3,1,wt372-e08-run-l0-04-e47181,run,0.3497,0.3497,intake,intake>planning,0.9732,0.9732,1.3288,3,5,15,0.4042,dashscope_fast,fast,fast,fast,1330,17,1347,db,0.000135,qwen3.7-flash,4.4168951048951046e-05,False,,,31,True,False,True,,True,,,020cc932-75e9-41b0-9ad4-80f8431f3e93
L0-05,L0,beginner,zh,ack,free,fast,standard,,3,2,wt372-e08-run-l0-05-bb4354,run,0.169,0.2716,intake,intake>planning,0.7666,0.7666,0.8974,1,5,15,0.3473,dashscope_fast,fast,fast,fast,1329,2,1331,db,0.000133,qwen3.7-flash,4.209412587412587e-05,False,,,3,False,False,True,,False,,,020cc932-75e9-41b0-9ad4-80f8431f3e93
L0-06,L0,college_student,zh,ack,free,fast,standard,,6,3,wt372-e08-run-l0-06-70653f,run,0.526,0.526,intake,intake>planning,1.2135,1.2135,1.4638,2,5,14,0.3186,dashscope_fast,fast,fast,fast,1305,20,1325,db,0.000132,qwen3.7-flash,4.3790909090909084e-05,False,,,36,True,False,True,,True,,,020cc932-75e9-41b0-9ad4-80f8431f3e93
L0-07,L0,professional,en,ack,free,fast,standard,,9,1,wt372-e08-run-l0-07-1c1ec8,run,0.1577,0.4139,intake,intake>planning>processing,1.0427,1.0427,21.3844,6,6,24,10.0536,dashscope_fast,fast,fast,fast,1304,47,1351,db,0.000135,qwen3.7-flash,4.743748251748251e-05,False,,,94,True,False,False,,False,,,221444de-7161-4690-a64e-fb2249fceec9
L0-08,L0,beginner,zh,ack,free,fast,standard,,7,2,wt372-e08-run-l0-08-c550fa,run,0.3546,0.3546,intake,intake>planning,1.0457,1.0457,1.6656,4,5,16,0.4285,dashscope_fast,fast,fast,fast,1307,30,1337,db,0.000134,qwen3.7-flash,4.521608391608391e-05,False,,,59,True,False,True,,True,,,221444de-7161-4690-a64e-fb2249fceec9
L0-09,L0,self_learner,zh,memory_write,free,fast,standard,,19,3,wt372-e08-run-l0-09-11ab3a,run,0.4588,0.4588,intake,intake>planning,1.5195,1.5195,2.3398,5,5,18,0.8862,dashscope_fast,fast,fast,fast,1313,39,1352,db,0.000135,qwen3.7-flash,4.6630909090909084e-05,False,,,70,True,False,True,,True,,,221444de-7161-4690-a64e-fb2249fceec9
L0-10,L0,college_student,en,memory_write,free,fast,standard,,50,1,wt372-e08-run-l0-10-2cffdc,run,0.5218,0.5218,intake,intake>planning,1.2591,1.2591,1.5038,2,5,14,0.5625,dashscope_fast,fast,fast,fast,1036,9,1045,db,0.000105,qwen3.7-flash,3.3827412587412585e-05,False,,,19,True,False,False,,False,,,07194998-7261-4839-9d04-b0d57182789a
