run_key,rep,qid,layer,lane,pro_signal,persona,lang,intent,reasoning_mode_sent,chat_mode_sent,request_id,ts_utc,t_first_event_s,t_first_stage_s,ttft_first_delta_s,_ttft_content_s,total_s,delta_events,frame_count,max_gap_s,db_model,db_model_tier,db_ai_reasoning_mode,db_prompt_tokens,db_completion_tokens,_cost_usd,_price_model,_usage_src,error,response_chars,quality_pass,first_touch_tier,session_id
L0-01#r1,1,L0-01,L0,free,none,self_learner,zh,greeting,fast,standard,wt406q06-l0-01-r1-add116,2026-09-25T16:44:21+00:00,0.0223,0.0223,0.6631,0.6631,1.2645,4,19,0.4613,dashscope_fast,fast,fast,1329,26,4.53634965034965e-05,qwen3.7-flash,db,,47,True,fast,d2f7b75c-3399-4176-8b51-5d0f46bc3b16
L0-02#r1,1,L0-02,L0,free,none,college_student,en,greeting,fast,standard,wt406q06-l0-02-r1-ca5143,2026-09-25T16:44:23+00:00,0.0447,0.0447,1.013,1.013,1.2401,2,17,0.7131,dashscope_fast,fast,fast,1329,2,4.209412587412587e-05,qwen3.7-flash,db,,3,False,fast,d2f7b75c-3399-4176-8b51-5d0f46bc3b16
L0-03#r1,1,L0-03,L0,free,none,exam_candidate,zh,greeting,fast,standard,wt406q06-l0-03-r1-d47a8f,2026-09-25T16:44:25+00:00,0.0456,0.0456,1.158,1.158,12.8392,9,25,10.0432,dashscope_fast,fast,fast,1334,87,5.38304895104895e-05,qwen3.7-flash,db,,150,True,fast,d2f7b75c-3399-4176-8b51-5d0f46bc3b16
L0-04#r1,1,L0-04,L0,free,none,self_learner,zh,thanks,fast,standard,wt406q06-l0-04-r1-747ed4,2026-09-25T16:44:39+00:00,0.0388,0.0388,0.902,0.902,1.6635,5,20,0.4451,dashscope_fast,fast,fast,1304,31,4.525790209790209e-05,qwen3.7-flash,db,,56,True,fast,b282660c-51f9-48c5-a099-964a57043e08
L0-05#r1,1,L0-05,L0,free,none,beginner,zh,ack,fast,standard,wt406q06-l0-05-r1-6d4187,2026-09-25T16:44:41+00:00,0.0375,0.0375,0.8653,0.8653,1.1429,2,17,0.4209,dashscope_fast,fast,fast,1303,2,4.127594405594404e-05,qwen3.7-flash,db,,3,False,fast,b282660c-51f9-48c5-a099-964a57043e08
L0-06#r1,1,L0-06,L0,free,none,college_student,zh,ack,fast,standard,wt406q06-l0-06-r1-d4e46c,2026-09-25T16:44:43+00:00,0.0406,0.0406,0.8426,0.8426,1.8292,6,25,0.3545,dashscope_fast,fast,fast,1331,45,4.801468531468531e-05,qwen3.7-flash,db,,76,True,fast,b282660c-51f9-48c5-a099-964a57043e08
L0-07#r1,1,L0-07,L0,free,none,professional,en,ack,fast,standard,wt406q06-l0-07-r1-130bb8,2026-09-25T16:44:46+00:00,0.0349,0.0349,0.8791,0.8791,1.4522,4,19,0.4771,dashscope_fast,fast,fast,1304,17,4.335076923076923e-05,qwen3.7-flash,db,,29,False,fast,97655612-5a80-4653-a153-5c4d04323751
L0-08#r1,1,L0-08,L0,free,none,beginner,zh,ack,fast,standard,wt406q06-l0-08-r1-17bc28,2026-09-25T16:44:48+00:00,0.0199,0.0199,0.8535,0.8535,1.5842,5,22,0.421,dashscope_fast,fast,fast,1333,31,4.61704895104895e-05,qwen3.7-flash,db,,49,True,fast,97655612-5a80-4653-a153-5c4d04323751
L0-09#r1,1,L0-09,L0,free,none,self_learner,zh,memory_write,fast,standard,wt406q06-l0-09-r1-7943ff,2026-09-25T16:44:51+00:00,0.0244,0.0244,1.1139,1.1139,30.5171,9,28,10.0827,dashscope_fast,fast,fast,1313,61,4.9627832167832166e-05,qwen3.7-flash,db,,151,True,fast,97655612-5a80-4653-a153-5c4d04323751
L0-10#r1,1,L0-10,L0,free,none,college_student,en,memory_write,fast,standard,wt406q06-l0-10-r1-5c28d4,2026-09-25T16:45:22+00:00,0.0392,0.0392,0.9534,0.9534,1.1889,2,17,0.4773,dashscope_fast,fast,fast,1338,3,4.251356643356643e-05,qwen3.7-flash,db,,4,False,fast,b3d37ac8-cf05-44c0-88d2-0d1e61445650
